anger,disgust,fear,joy,sadness,surprise,time,system,video,video_emotion,video_gender
0.085115,0.0177586,0.00103596,0.0227625,0.0895825,0.00768612,68,crowdemotion_CNN,boredom_M,boredom,M
0.0887084,0.0128085,0.000976873,0.0126976,0.149406,0.00877645,69,crowdemotion_CNN,boredom_M,boredom,M
0.109534,0.032955,0.00154491,0.0290371,0.0946631,0.0126763,70,crowdemotion_CNN,boredom_M,boredom,M
0.0939128,0.028505,0.00160071,0.0237709,0.0915995,0.0111873,71,crowdemotion_CNN,boredom_M,boredom,M
0.0681547,0.0219581,0.000739442,0.0185388,0.0713262,0.00847427,72,crowdemotion_CNN,boredom_M,boredom,M
0.0689766,0.0159957,0.00105769,0.0151258,0.123665,0.00906282,73,crowdemotion_CNN,boredom_M,boredom,M
0.0853454,0.0187392,0.00102474,0.0147262,0.120999,0.0172542,74,crowdemotion_CNN,boredom_M,boredom,M
0.0940704,0.0280327,0.0018127,0.0265953,0.112999,0.0122407,75,crowdemotion_CNN,boredom_M,boredom,M
0.0516607,0.0141783,0.000845693,0.015447,0.0925625,0.00960271,76,crowdemotion_CNN,boredom_M,boredom,M
0.0705204,0.0252418,0.00136522,0.0201189,0.0994231,0.0110927,77,crowdemotion_CNN,boredom_M,boredom,M
0.0877013,0.028289,0.00114651,0.022621,0.106044,0.0105847,78,crowdemotion_CNN,boredom_M,boredom,M
0.102444,0.0362923,0.00161516,0.0264629,0.113479,0.0128849,79,crowdemotion_CNN,boredom_M,boredom,M
0.0894478,0.0283427,0.00134039,0.0216269,0.0910837,0.0125982,80,crowdemotion_CNN,boredom_M,boredom,M
0.0770848,0.0291642,0.00135426,0.0254148,0.0739078,0.0114203,81,crowdemotion_CNN,boredom_M,boredom,M
0.0847193,0.0289709,0.00117503,0.0204897,0.0860923,0.0105088,82,crowdemotion_CNN,boredom_M,boredom,M
0.0900188,0.0305449,0.00109226,0.0166,0.0927313,0.0122408,83,crowdemotion_CNN,boredom_M,boredom,M
0.076459,0.0246296,0.00121181,0.0162171,0.0864287,0.00952779,84,crowdemotion_CNN,boredom_M,boredom,M
0.0835975,0.0308337,0.00115706,0.0222385,0.0695621,0.00963605,85,crowdemotion_CNN,boredom_M,boredom,M
0.113401,0.0367109,0.00163625,0.0234053,0.101919,0.00861062,86,crowdemotion_CNN,boredom_M,boredom,M
0.127373,0.0368409,0.00144504,0.0245038,0.106771,0.0172519,87,crowdemotion_CNN,boredom_M,boredom,M
0.0997578,0.0394337,0.00129675,0.0240437,0.0812877,0.0129774,88,crowdemotion_CNN,boredom_M,boredom,M
0.0863777,0.0315939,0.00190306,0.0239987,0.113649,0.0127235,89,crowdemotion_CNN,boredom_M,boredom,M
0.068686,0.0318087,0.00176589,0.0193596,0.123498,0.0167716,90,crowdemotion_CNN,boredom_M,boredom,M
0.0996825,0.0398183,0.00194634,0.0273587,0.105573,0.0214094,91,crowdemotion_CNN,boredom_M,boredom,M
0.0796254,0.0202267,0.00106538,0.0118186,0.0816995,0.01087,92,crowdemotion_CNN,boredom_M,boredom,M
0.0873046,0.0266146,0.00154347,0.0193226,0.103341,0.0107211,93,crowdemotion_CNN,boredom_M,boredom,M
0.106628,0.0384027,0.00177066,0.0241956,0.0984163,0.0113394,94,crowdemotion_CNN,boredom_M,boredom,M
0.0817394,0.0329213,0.00163918,0.0203488,0.12075,0.0139307,95,crowdemotion_CNN,boredom_M,boredom,M
0.0870182,0.038394,0.00197218,0.0274209,0.122589,0.0172573,96,crowdemotion_CNN,boredom_M,boredom,M
0.110281,0.0421884,0.00202126,0.0413761,0.110824,0.0171069,97,crowdemotion_CNN,boredom_M,boredom,M
0.110352,0.0278016,0.000993752,0.0210074,0.104727,0.00992837,98,crowdemotion_CNN,boredom_M,boredom,M
