UniqueID,DayNumber,title,rank,newsSource,URLs,Date,Filename,Seg,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,Iself,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,Polarity
87,2,North Sea oil industry 'close to collapse',2,BBCNews,http://www.bbc.co.uk/news/business-30525539,18/12/2014,headlineadi.txt,1,7,7,28.57,71.43,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,28.57,0,28.57,0,14.29,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,28.57,0,0,42.86,0
88,3,Swiss National Bank will cut interest rate to minus 0.25%,3,BBCNews,http://www.bbc.co.uk/news/business-30528404,18/12/2014,headlineadj.txt,1,10,10,20,60,0,20,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,10,0,0,0,0,0,0,0,0,0,20,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0
89,4,Child abuse inquiry: Police investigate three alleged murders,4,BBCNews,http://www.bbc.co.uk/news/uk-30534235,18/12/2014,headlineadk.txt,1,8,8,50,87.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,12.5,25,0,25,0,25,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,12.5,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,25,-25
90,5,Putin seeks to ease fears over Russian economic crisis,5,BBCNews,http://www.bbc.co.uk/news/world-europe-30527984,18/12/2014,headlineadl.txt,1,9,9,22.22,55.56,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,22.22,11.11,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,11.11,0,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,11.11,0
91,6,The Interview: Sony shelves worldwide release,6,BBCNews,http://www.bbc.co.uk/news/entertainment-arts-30528772,18/12/2014,headlineadm.txt,1,6,6,66.67,33.33,0,16.67,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,33.33,0
92,7,Highcliffe School in lockdown after shots fired,7,BBCNews,http://www.bbc.co.uk/news/uk-england-dorset-30534259,18/12/2014,headlineadn.txt,1,7,7,28.57,57.14,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,14.29,14.29,28.57,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,14.29,-14.29
93,8,Boris Johnson flight passenger admits assault and drink charges,8,BBCNews,http://www.bbc.co.uk/news/uk-england-london-30531761,18/12/2014,headlineado.txt,1,9,9,44.44,44.44,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,11.11,0,0,0,0,11.11,0,0,0,11.11,0,11.11,0,11.11,0,22.22,11.11,0,0,0,0,0,11.11,0,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,11.11,-11.11
94,9,Minister outlines funding 'cut of 1.8%' for English councils,9,BBCNews,http://www.bbc.co.uk/news/uk-politics-30524122,18/12/2014,headlineadp.txt,1,9,9,55.56,77.78,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,11.11,0,0,0,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,11.11,11.11,0,0,0,0,22.22,0,0,0,0,0,0,0,22.22,0,0,44.44,-11.11
95,10,Council cuts: Who will lose out most?,10,BBCNews,http://www.bbc.co.uk/news/uk-politics-30537288,18/12/2014,headlineadq.txt,1,7,7,14.29,85.71,0,57.14,14.29,0,0,0,0,0,0,14.29,0,14.29,14.29,0,0,14.29,0,14.29,0,0,14.29,0,0,28.57,0,0,0,14.29,0,14.29,0,0,14.29,28.57,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,14.29,14.29,0,0,0,0,0,0,0,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,42.86,-14.29
171,1,Prime Minister's Questions: David Cameron v Ed Miliband,1,BBCNews,http://www.bbc.co.uk/news/live/uk-politics-30512858,22/12/2014,headlineago.txt,1,8,8,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,12.5,0,0,0,0,0,12.5,0,0,37.5,0
